TABELUL DE SIMBOLURI PENTRU VARIABILE

NUME           INFO           TIP            VALOARE        LOCATIE        
----------------------------------------------------------
h              Variabila      INT            11             Global         
MyFunction     Functie        INT            -              Global         
as             Variabila      INT            1              MyFunction     
ddd            Variabila      FLOAT          111            Global         
bbbb           Variabila      INT            neinit         MyClass        
aaaa           Variabila      INT            neinit         MyClass        
SetSum         Functie        INT            -              MyClass        
GetSum         Functie        INT            -              MyClass        
sc             Variabila      INT            neinit         MyStruct       
sb             Variabila      INT            neinit         MyStruct       
sa             Variabila      INT            neinit         MyStruct       
C[101]         Variabila      INT            [...]          Global         
B              Variabila      INT            neinit         Global         
A              Variabila      INT            neinit         Global         
main           Functie        INT            -              Global         
x              Variabila      INT            128            main           
f              Variabila      FLOAT          neinit         main           
ff             Variabila      FLOAT          7.9            main           
c              Variabila      CONST INT      10             main           
a              Variabila      INT            648            main           
b              Variabila      INT            5              main           
dd             Variabila      CONST INT      neinit         main           
g              Variabila      CHAR           'a'            main           
ok             Variabila      BOOL           adevarat       main           
v[10]          Variabila      FLOAT          [...]          main           
bbb            Variabila      STRING         "Denis"        main           
1              Variabila      INT            1              main           
xz             Variabila      CONST INT      1001           main           
